routenum,ord,stationid,arsid,encode
17,1,청암자이아파트,3689,%EC%B2%AD%EC%95%94%EC%9E%90%EC%9D%B4%EC%95%84%ED%8C%8C%ED%8A%B8
17,2,청암동강변삼성아파트,3298,%EC%B2%AD%EC%95%94%EB%8F%99%EA%B0%95%EB%B3%80%EC%82%BC%EC%84%B1%EC%95%84%ED%8C%8C%ED%8A%B8
17,3,청심경로당,3321,%EC%B2%AD%EC%8B%AC%EA%B2%BD%EB%A1%9C%EB%8B%B9
17,4,원효2동주민센터,3304,%EC%9B%90%ED%9A%A82%EB%8F%99%EC%A3%BC%EB%AF%BC%EC%84%BC%ED%84%B0
17,5,산천동,3306,%EC%82%B0%EC%B2%9C%EB%8F%99
17,6,신창동세방아파트,3308,%EC%8B%A0%EC%B0%BD%EB%8F%99%EC%84%B8%EB%B0%A9%EC%95%84%ED%8C%8C%ED%8A%B8
17,7,남이장군사당,3310,%EB%82%A8%EC%9D%B4%EC%9E%A5%EA%B5%B0%EC%82%AC%EB%8B%B9
17,8,새마을금고,3312,%EC%83%88%EB%A7%88%EC%9D%84%EA%B8%88%EA%B3%A0
17,9,용문시장,3247,%EC%9A%A9%EB%AC%B8%EC%8B%9C%EC%9E%A5
17,10,용산전자상가입구,3250,%EC%9A%A9%EC%82%B0%EC%A0%84%EC%9E%90%EC%83%81%EA%B0%80%EC%9E%85%EA%B5%AC
17,11,전자상가관광터미널,3252,%EC%A0%84%EC%9E%90%EC%83%81%EA%B0%80%EA%B4%80%EA%B4%91%ED%84%B0%EB%AF%B8%EB%84%90
17,12,신용산역3번출구,3119,%EC%8B%A0%EC%9A%A9%EC%82%B0%EC%97%AD3%EB%B2%88%EC%B6%9C%EA%B5%AC
17,13,용산역,3255,%EC%9A%A9%EC%82%B0%EC%97%AD
17,14,용사의집,3256,%EC%9A%A9%EC%82%AC%EC%9D%98%EC%A7%91
17,15,한강로동웨딩코리아,3122,%ED%95%9C%EA%B0%95%EB%A1%9C%EB%8F%99%EC%9B%A8%EB%94%A9%EC%BD%94%EB%A6%AC%EC%95%84
17,16,서부이촌동입구,3294,%EC%84%9C%EB%B6%80%EC%9D%B4%EC%B4%8C%EB%8F%99%EC%9E%85%EA%B5%AC
17,17,이촌2동대림아파트.새남터성지,3292,%EC%9D%B4%EC%B4%8C2%EB%8F%99%EB%8C%80%EB%A6%BC%EC%95%84%ED%8C%8C%ED%8A%B8.%EC%83%88%EB%82%A8%ED%84%B0%EC%84%B1%EC%A7%80
17,18,이촌2동주민센터,3290,%EC%9D%B4%EC%B4%8C2%EB%8F%99%EC%A3%BC%EB%AF%BC%EC%84%BC%ED%84%B0
17,19,이촌2동부영주유소,3288,%EC%9D%B4%EC%B4%8C2%EB%8F%99%EB%B6%80%EC%98%81%EC%A3%BC%EC%9C%A0%EC%86%8C
17,20,이촌119안전센터.성촌공원,3287,%EC%9D%B4%EC%B4%8C119%EC%95%88%EC%A0%84%EC%84%BC%ED%84%B0.%EC%84%B1%EC%B4%8C%EA%B3%B5%EC%9B%90
17,21,원효2동산호아파트후문,3296,%EC%9B%90%ED%9A%A82%EB%8F%99%EC%82%B0%ED%98%B8%EC%95%84%ED%8C%8C%ED%8A%B8%ED%9B%84%EB%AC%B8
17,22,청암동강변삼성아파트,3298,%EC%B2%AD%EC%95%94%EB%8F%99%EA%B0%95%EB%B3%80%EC%82%BC%EC%84%B1%EC%95%84%ED%8C%8C%ED%8A%B8
17,23,원효2동산호아파트,3299,%EC%9B%90%ED%9A%A82%EB%8F%99%EC%82%B0%ED%98%B8%EC%95%84%ED%8C%8C%ED%8A%B8
17,24,현대자동차써비스,3301,%ED%98%84%EB%8C%80%EC%9E%90%EB%8F%99%EC%B0%A8%EC%8D%A8%EB%B9%84%EC%8A%A4
17,25,이촌2동부영주유소,3289,%EC%9D%B4%EC%B4%8C2%EB%8F%99%EB%B6%80%EC%98%81%EC%A3%BC%EC%9C%A0%EC%86%8C
17,26,이촌2동주민센터,3291,%EC%9D%B4%EC%B4%8C2%EB%8F%99%EC%A3%BC%EB%AF%BC%EC%84%BC%ED%84%B0
17,27,이촌2동대림아파트.새남터성지,3293,%EC%9D%B4%EC%B4%8C2%EB%8F%99%EB%8C%80%EB%A6%BC%EC%95%84%ED%8C%8C%ED%8A%B8.%EC%83%88%EB%82%A8%ED%84%B0%EC%84%B1%EC%A7%80
17,28,이촌2동강변아파트,3295,%EC%9D%B4%EC%B4%8C2%EB%8F%99%EA%B0%95%EB%B3%80%EC%95%84%ED%8C%8C%ED%8A%B8
17,29,한강대교북단,3001,%ED%95%9C%EA%B0%95%EB%8C%80%EA%B5%90%EB%B6%81%EB%8B%A8
17,30,신용산역,3003,%EC%8B%A0%EC%9A%A9%EC%82%B0%EC%97%AD
17,31,신용산역,3253,%EC%8B%A0%EC%9A%A9%EC%82%B0%EC%97%AD
17,32,전자상가관광터미널,3251,%EC%A0%84%EC%9E%90%EC%83%81%EA%B0%80%EA%B4%80%EA%B4%91%ED%84%B0%EB%AF%B8%EB%84%90
17,33,용산전자상가입구,3249,%EC%9A%A9%EC%82%B0%EC%A0%84%EC%9E%90%EC%83%81%EA%B0%80%EC%9E%85%EA%B5%AC
17,34,용문시장,3248,%EC%9A%A9%EB%AC%B8%EC%8B%9C%EC%9E%A5
17,35,새마을금고,3313,%EC%83%88%EB%A7%88%EC%9D%84%EA%B8%88%EA%B3%A0
17,36,남이장군사당,3311,%EB%82%A8%EC%9D%B4%EC%9E%A5%EA%B5%B0%EC%82%AC%EB%8B%B9
17,37,신창동세방아파트,3309,%EC%8B%A0%EC%B0%BD%EB%8F%99%EC%84%B8%EB%B0%A9%EC%95%84%ED%8C%8C%ED%8A%B8
17,38,산천동,3307,%EC%82%B0%EC%B2%9C%EB%8F%99
17,39,산천동리버힐삼성아파트,3305,%EC%82%B0%EC%B2%9C%EB%8F%99%EB%A6%AC%EB%B2%84%ED%9E%90%EC%82%BC%EC%84%B1%EC%95%84%ED%8C%8C%ED%8A%B8
17,40,삼성테마트,3322,%EC%82%BC%EC%84%B1%ED%85%8C%EB%A7%88%ED%8A%B8
17,41,청암동강변삼성아파트,3297,%EC%B2%AD%EC%95%94%EB%8F%99%EA%B0%95%EB%B3%80%EC%82%BC%EC%84%B1%EC%95%84%ED%8C%8C%ED%8A%B8
2,1,남산서울타워,3320,%EB%82%A8%EC%82%B0%EC%84%9C%EC%9A%B8%ED%83%80%EC%9B%8C
2,2,남산도서관,3167,%EB%82%A8%EC%82%B0%EB%8F%84%EC%84%9C%EA%B4%80
2,3,교육연구정보원,2269,%EA%B5%90%EC%9C%A1%EC%97%B0%EA%B5%AC%EC%A0%95%EB%B3%B4%EC%9B%90
2,4,남산산책로입구B코스,2220,%EB%82%A8%EC%82%B0%EC%82%B0%EC%B1%85%EB%A1%9C%EC%9E%85%EA%B5%ACB%EC%BD%94%EC%8A%A4
2,5,서울애니메이션센터숭의여대,2221,%EC%84%9C%EC%9A%B8%EC%95%A0%EB%8B%88%EB%A9%94%EC%9D%B4%EC%85%98%EC%84%BC%ED%84%B0%EC%88%AD%EC%9D%98%EC%97%AC%EB%8C%80
2,6,퇴계로3가.한옥마을.한국의집,2152,%ED%87%B4%EA%B3%84%EB%A1%9C3%EA%B0%80.%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84.%ED%95%9C%EA%B5%AD%EC%9D%98%EC%A7%91
2,7,대한극장앞,2153,%EB%8C%80%ED%95%9C%EA%B7%B9%EC%9E%A5%EC%95%9E
2,8,퇴계로5가,2207,%ED%87%B4%EA%B3%84%EB%A1%9C5%EA%B0%80
2,9,동대입구역장충동,2222,%EB%8F%99%EB%8C%80%EC%9E%85%EA%B5%AC%EC%97%AD%EC%9E%A5%EC%B6%A9%EB%8F%99
2,10,국립극장,2210,%EA%B5%AD%EB%A6%BD%EA%B7%B9%EC%9E%A5
2,11,남산북측순환로입구,2254,%EB%82%A8%EC%82%B0%EB%B6%81%EC%B8%A1%EC%88%9C%ED%99%98%EB%A1%9C%EC%9E%85%EA%B5%AC
2,12,남산서울타워,3320,%EB%82%A8%EC%82%B0%EC%84%9C%EC%9A%B8%ED%83%80%EC%9B%8C
2,13,남산도서관,3167,%EB%82%A8%EC%82%B0%EB%8F%84%EC%84%9C%EA%B4%80
2,14,교육연구정보원,2269,%EA%B5%90%EC%9C%A1%EC%97%B0%EA%B5%AC%EC%A0%95%EB%B3%B4%EC%9B%90
2,15,남산산책로입구B코스,2220,%EB%82%A8%EC%82%B0%EC%82%B0%EC%B1%85%EB%A1%9C%EC%9E%85%EA%B5%ACB%EC%BD%94%EC%8A%A4
2,16,서울애니메이션센터숭의여대,2221,%EC%84%9C%EC%9A%B8%EC%95%A0%EB%8B%88%EB%A9%94%EC%9D%B4%EC%85%98%EC%84%BC%ED%84%B0%EC%88%AD%EC%9D%98%EC%97%AC%EB%8C%80
2,17,퇴계로3가.한옥마을.한국의집,2152,%ED%87%B4%EA%B3%84%EB%A1%9C3%EA%B0%80.%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84.%ED%95%9C%EA%B5%AD%EC%9D%98%EC%A7%91
2,18,대한극장앞,2153,%EB%8C%80%ED%95%9C%EA%B7%B9%EC%9E%A5%EC%95%9E
2,19,퇴계로5가,2207,%ED%87%B4%EA%B3%84%EB%A1%9C5%EA%B0%80
2,20,동대입구역장충동,2222,%EB%8F%99%EB%8C%80%EC%9E%85%EA%B5%AC%EC%97%AD%EC%9E%A5%EC%B6%A9%EB%8F%99
2,21,국립극장,2210,%EA%B5%AD%EB%A6%BD%EA%B7%B9%EC%9E%A5
2,22,남산북측순환로입구,2254,%EB%82%A8%EC%82%B0%EB%B6%81%EC%B8%A1%EC%88%9C%ED%99%98%EB%A1%9C%EC%9E%85%EA%B5%AC
3,1,남산서울타워,3320,%EB%82%A8%EC%82%B0%EC%84%9C%EC%9A%B8%ED%83%80%EC%9B%8C
3,2,남산도서관,3167,%EB%82%A8%EC%82%B0%EB%8F%84%EC%84%9C%EA%B4%80
3,3,백범광장,2215,%EB%B0%B1%EB%B2%94%EA%B4%91%EC%9E%A5
3,4,후암삼거리,2120,%ED%9B%84%EC%95%94%EC%82%BC%EA%B1%B0%EB%A6%AC
3,5,남대문경찰서,2218,%EB%82%A8%EB%8C%80%EB%AC%B8%EA%B2%BD%EC%B0%B0%EC%84%9C
3,6,서울스퀘어앞,2282,%EC%84%9C%EC%9A%B8%EC%8A%A4%ED%80%98%EC%96%B4%EC%95%9E
3,7,남대문시장.회현역,2146,%EB%82%A8%EB%8C%80%EB%AC%B8%EC%8B%9C%EC%9E%A5.%ED%9A%8C%ED%98%84%EC%97%AD
3,8,남산3호터널,2147,%EB%82%A8%EC%82%B03%ED%98%B8%ED%84%B0%EB%84%90
3,9,용산한신아파트,3150,%EC%9A%A9%EC%82%B0%ED%95%9C%EC%8B%A0%EC%95%84%ED%8C%8C%ED%8A%B8
3,10,해방촌,3151,%ED%95%B4%EB%B0%A9%EC%B4%8C
3,11,용산구청.이태원시장,3189,%EC%9A%A9%EC%82%B0%EA%B5%AC%EC%B2%AD.%EC%9D%B4%ED%83%9C%EC%9B%90%EC%8B%9C%EC%9E%A5
3,12,해밀턴호텔,3191,%ED%95%B4%EB%B0%80%ED%84%B4%ED%98%B8%ED%85%94
3,13,이태원119안전센터,3193,%EC%9D%B4%ED%83%9C%EC%9B%90119%EC%95%88%EC%A0%84%EC%84%BC%ED%84%B0
3,14,한남동주민센터,3195,%ED%95%9C%EB%82%A8%EB%8F%99%EC%A3%BC%EB%AF%BC%EC%84%BC%ED%84%B0
3,15,한강진역.블루스퀘어,3197,%ED%95%9C%EA%B0%95%EC%A7%84%EC%97%AD.%EB%B8%94%EB%A3%A8%EC%8A%A4%ED%80%98%EC%96%B4
3,16,버티고개,2237,%EB%B2%84%ED%8B%B0%EA%B3%A0%EA%B0%9C
3,17,송도병원앞,2197,%EC%86%A1%EB%8F%84%EB%B3%91%EC%9B%90%EC%95%9E
3,18,약수역,2196,%EC%95%BD%EC%88%98%EC%97%AD
3,19,동대입구역장충동,2222,%EB%8F%99%EB%8C%80%EC%9E%85%EA%B5%AC%EC%97%AD%EC%9E%A5%EC%B6%A9%EB%8F%99
3,20,국립극장,2210,%EA%B5%AD%EB%A6%BD%EA%B7%B9%EC%9E%A5
3,21,남산북측순환로입구,2254,%EB%82%A8%EC%82%B0%EB%B6%81%EC%B8%A1%EC%88%9C%ED%99%98%EB%A1%9C%EC%9E%85%EA%B5%AC
5,1,남산서울타워,3320,%EB%82%A8%EC%82%B0%EC%84%9C%EC%9A%B8%ED%83%80%EC%9B%8C
5,2,남산도서관,3167,%EB%82%A8%EC%82%B0%EB%8F%84%EC%84%9C%EA%B4%80
5,3,백범광장,2215,%EB%B0%B1%EB%B2%94%EA%B4%91%EC%9E%A5
5,4,힐튼호텔,2285,%ED%9E%90%ED%8A%BC%ED%98%B8%ED%85%94
