routenum,ord,stationid,arsid,arsid2
17,1,청암자이아파트,3689,03689
17,2,청암동강변삼성아파트,3298,03298
17,3,청심경로당,3321,03321
17,4,원효2동주민센터,3304,03304
17,5,산천동,3306,03306
17,6,신창동세방아파트,3308,03308
17,7,남이장군사당,3310,03310
17,8,새마을금고,3312,03312
17,9,용문시장,3247,03247
17,10,용산전자상가입구,3250,03250
17,11,전자상가관광터미널,3252,03252
17,12,신용산역3번출구,3119,03119
17,13,용산역,3255,03255
17,14,용사의집,3256,03256
17,15,한강로동웨딩코리아,3122,03122
17,16,서부이촌동입구,3294,03294
17,17,이촌2동대림아파트.새남터성지,3292,03292
17,18,이촌2동주민센터,3290,03290
17,19,이촌2동부영주유소,3288,03288
17,20,이촌119안전센터.성촌공원,3287,03287
17,21,원효2동산호아파트후문,3296,03296
17,22,청암동강변삼성아파트,3298,03298
17,23,원효2동산호아파트,3299,03299
17,24,현대자동차써비스,3301,03301
17,25,이촌2동부영주유소,3289,03289
17,26,이촌2동주민센터,3291,03291
17,27,이촌2동대림아파트.새남터성지,3293,03293
17,28,이촌2동강변아파트,3295,03295
17,29,한강대교북단,3001,03001
17,30,신용산역,3003,03003
17,31,신용산역,3253,03253
17,32,전자상가관광터미널,3251,03251
17,33,용산전자상가입구,3249,03249
17,34,용문시장,3248,03248
17,35,새마을금고,3313,03313
17,36,남이장군사당,3311,03311
17,37,신창동세방아파트,3309,03309
17,38,산천동,3307,03307
17,39,산천동리버힐삼성아파트,3305,03305
17,40,삼성테마트,3322,03322
17,41,청암동강변삼성아파트,3297,03297
2,1,남산서울타워,3320,03320
2,2,남산도서관,3167,03167
2,3,교육연구정보원,2269,02269
2,4,남산산책로입구B코스,2220,02220
2,5,서울애니메이션센터숭의여대,2221,02221
2,6,퇴계로3가.한옥마을.한국의집,2152,02152
2,7,대한극장앞,2153,02153
2,8,퇴계로5가,2207,02207
2,9,동대입구역장충동,2222,02222
2,10,국립극장,2210,02210
2,11,남산북측순환로입구,2254,02254
2,12,남산서울타워,3320,03320
2,13,남산도서관,3167,03167
2,14,교육연구정보원,2269,02269
2,15,남산산책로입구B코스,2220,02220
2,16,서울애니메이션센터숭의여대,2221,02221
2,17,퇴계로3가.한옥마을.한국의집,2152,02152
2,18,대한극장앞,2153,02153
2,19,퇴계로5가,2207,02207
2,20,동대입구역장충동,2222,02222
2,21,국립극장,2210,02210
2,22,남산북측순환로입구,2254,02254
3,1,남산서울타워,3320,03320
3,2,남산도서관,3167,03167
3,3,백범광장,2215,02215
3,4,후암삼거리,2120,02120
3,5,남대문경찰서,2218,02218
3,6,서울스퀘어앞,2282,02282
3,7,남대문시장.회현역,2146,02146
3,8,남산3호터널,2147,02147
3,9,용산한신아파트,3150,03150
3,10,해방촌,3151,03151
3,11,용산구청.이태원시장,3189,03189
3,12,해밀턴호텔,3191,03191
3,13,이태원119안전센터,3193,03193
3,14,한남동주민센터,3195,03195
3,15,한강진역.블루스퀘어,3197,03197
3,16,버티고개,2237,02237
3,17,송도병원앞,2197,02197
3,18,약수역,2196,02196
3,19,동대입구역장충동,2222,02222
3,20,국립극장,2210,02210
3,21,남산북측순환로입구,2254,02254
5,1,남산서울타워,3320,03320
5,2,남산도서관,3167,03167
5,3,백범광장,2215,02215
5,4,힐튼호텔,2285,02285
5,5,남대문시장악세사리전문상가,2124,02124
5,6,남대문시장,2126,02126
5,7,명동입구,2149,02149
5,8,퇴계로3가.한옥마을.한국의집,2152,02152
5,9,대한극장앞,2153,02153
