"stname","clock","crazy","day"
"dongmyo",5,30,"week"
"jegidong",5,39,"week"
"jongkak",5,26,"week"
"jongro5",5,32,"week"
"cheongryangri",5,39,"week"
"kangnam",5,113,"week"
"kangbyeon",5,41,"week"
"keondae",5,53,"week"
"gurodigital",5,130,"week"
"gooui",5,47,"week"
"kkachisan",5,20,"week"
"nakseongdae",5,123,"week"
"dangsan",5,64,"week"
"daerim",5,139,"week"
"dorimcheon",5,57,"week"
"ttooksum",5,41,"week"
"moonrae",5,73,"week"
"bangbae",5,134,"week"
"bongcheon",5,114,"week"
"samseong",5,41,"week"
"sangwangshipri",5,47,"week"
"seouldaeipgu",5,107,"week"
"seocho",5,130,"week"
"seonreung",5,64,"week"
"seongnae",5,47,"week"
"seongsu",5,23,"week"
"seongsuG",5,4,"week"
"sindap",5,17,"week"
"sindang",5,46,"week"
"sindaebang",5,113,"week"
"sindorim",5,62,"week"
"sindorimG",5,14,"week"
"sinrim",5,120,"week"
"sinjeongnegeori",5,50,"week"
"sincheon",5,50,"week"
"sinchon",5,49,"week"
"ahyeon",5,41,"week"
"yangcheonguchong",5,57,"week"
"yeoksam",5,101,"week"
"yeongdeungpoguchong",5,71,"week"
"wangshipri",5,41,"week"
"yongdap",5,23,"week"
"yongdu",5,15,"week"
"eulji4ga",5,21,"week"
"euljiipgu",5,25,"week"
"ewhadae",5,46,"week"
"jamsil",5,53,"week"
"jonghapwoondongjang",5,51,"week"
"chungjeongro",5,41,"week"
"hanyangdae",5,42,"week"
"hapjeong",5,63,"week"
"hongdae",5,52,"week"
"karaksijang",5,9,"week"
"kyeongbokgoong",5,43,"week"
"keongchalhospital",5,5,"week"
"expressterminal",5,28,"week"
"gupabal",5,40,"week"
"geumho",5,49,"week"
"southterminal",5,34,"week"
"nokbeon",5,54,"week"
"daecheong",5,16,"week"
"daechi",5,15,"week"
"dokok",5,16,"week"
"dokripmoon",5,41,"week"
"dongdaeipgu",5,38,"week"
"maebong",5,18,"week"
"mooakjae",5,55,"week"
"boolkwang",5,51,"week"
"suseo",5,8,"week"
"sinsa",5,25,"week"
"ankook",5,44,"week"
"apgujeong",5,24,"week"
"yaksu",5,43,"week"
"yangjae",5,18,"week"
"yeonsinnae",5,47,"week"
"ogum",5,4,"week"
"oksu",5,49,"week"
"ilwon",5,14,"week"
"jamwon",5,26,"week"
"jichook",5,55,"week"
"choongmuro",5,96,"week"
"hakyeowool",5,16,"week"
"hongje",5,58,"week"
"killeum",5,75,"week"
"namtaeryeong",5,46,"week"
"nowon",5,14,"week"
"dangkokae",5,5,"week"
"dongjak",5,17,"week"
"myeongdong",5,47,"week"
"mia",5,65,"week"
"mia4keori",5,74,"week"
"samkakji",5,57,"week"
"sangkye",5,11,"week"
"sungsinyeodae",5,78,"week"
"sooyou",5,65,"week"
"sookmyeong",5,51,"week"
"sinyongsan",5,60,"week"
"ssangmoon",5,25,"week"
"ichon",5,59,"week"
"changdong",5,15,"week"
"chongsindae",5,18,"week"
"hanseongdae",5,66,"week"
"hyehwa",5,67,"week"
"hoihyeon",5,46,"week"
"kyodae",5,165,"week"
"dongdaemon",5,107,"week"
"dongyeoksa",5,88,"week"
"sadang",5,158,"week"
"seoulstation",5,64,"week"
"sichong",5,58,"week"
"sinsuldong",5,48,"week"
"eulji3ga",5,67,"week"
"jongro3ga",5,75,"week"
"dongmyo",6,45,"week"
"jegidong",6,50,"week"
"jongkak",6,41,"week"
"jongro5",6,47,"week"
"cheongryangri",6,45,"week"
"kangnam",6,69,"week"
"kangbyeon",6,43,"week"
"keondae",6,46,"week"
"gurodigital",6,81,"week"
"gooui",6,45,"week"
"kkachisan",6,25,"week"
"nakseongdae",6,94,"week"
"dangsan",6,74,"week"
"daerim",6,85,"week"
"dorimcheon",6,70,"week"
"ttooksum",6,44,"week"
"moonrae",6,87,"week"
"bangbae",6,90,"week"
"bongcheon",6,87,"week"
"samseong",6,49,"week"
"sangwangshipri",6,47,"week"
"seouldaeipgu",6,92,"week"
"seocho",6,84,"week"
"seonreung",6,62,"week"
"seongnae",6,42,"week"
"seongsu",6,37,"week"
"seongsuG",6,8,"week"
"sindap",6,23,"week"
"sindang",6,47,"week"
"sindaebang",6,80,"week"
"sindorim",6,73,"week"
"sindorimG",6,20,"week"
"sinrim",6,87,"week"
"sinjeongnegeori",6,57,"week"
"sincheon",6,53,"week"
"sinchon",6,46,"week"
"ahyeon",6,44,"week"
"yangcheonguchong",6,69,"week"
"yeoksam",6,70,"week"
"yeongdeungpoguchong",6,82,"week"
"wangshipri",6,48,"week"
"yongdap",6,23,"week"
"yongdu",6,21,"week"
"eulji4ga",6,23,"week"
"euljiipgu",6,32,"week"
"ewhadae",6,45,"week"
"jamsil",6,46,"week"
"jonghapwoondongjang",6,50,"week"
"chungjeongro",6,47,"week"
"hanyangdae",6,45,"week"
"hapjeong",6,66,"week"
"hongdae",6,54,"week"
"karaksijang",6,25,"week"
"kyeongbokgoong",6,56,"week"
"keongchalhospital",6,16,"week"
"expressterminal",6,52,"week"
"gupabal",6,37,"week"
"geumho",6,47,"week"
"southterminal",6,49,"week"
"nokbeon",6,54,"week"
"daecheong",6,27,"week"
"daechi",6,32,"week"
"dokok",6,33,"week"
"dokripmoon",6,56,"week"
"dongdaeipgu",6,45,"week"
"maebong",6,35,"week"
"mooakjae",6,55,"week"
"boolkwang",6,49,"week"
"suseo",6,19,"week"
"sinsa",6,45,"week"
"ankook",6,56,"week"
"apgujeong",6,45,"week"
"yaksu",6,48,"week"
"yangjae",6,38,"week"
"yeonsinnae",6,44,"week"
"ogum",6,11,"week"
"oksu",6,48,"week"
"ilwon",6,23,"week"
"jamwon",6,46,"week"
"jichook",6,53,"week"
"choongmuro",6,91,"week"
"hakyeowool",6,30,"week"
"hongje",6,54,"week"
"killeum",6,53,"week"
"namtaeryeong",6,70,"week"
"nowon",6,27,"week"
"dangkokae",6,4,"week"
"dongjak",6,43,"week"
"myeongdong",6,36,"week"
"mia",6,45,"week"
"mia4keori",6,49,"week"
"samkakji",6,37,"week"
"sangkye",6,16,"week"
"sungsinyeodae",6,55,"week"
"sooyou",6,44,"week"
"sookmyeong",6,36,"week"
"sinyongsan",6,37,"week"
"ssangmoon",6,43,"week"
"ichon",6,37,"week"
"changdong",6,32,"week"
"chongsindae",6,49,"week"
"hanseongdae",6,55,"week"
"hyehwa",6,55,"week"
"hoihyeon",6,35,"week"
"kyodae",6,137,"week"
"dongdaemon",6,101,"week"
"dongyeoksa",6,83,"week"
"sadang",6,138,"week"
"seoulstation",6,71,"week"
"sichong",6,77,"week"
"sinsuldong",6,64,"week"
"eulji3ga",6,80,"week"
"jongro3ga",6,100,"week"
"dongmyo",7,99,"week"
"jegidong",7,97,"week"
"jongkak",7,84,"week"
"jongro5",7,100,"week"
"cheongryangri",7,104,"week"
"kangnam",7,141,"week"
"kangbyeon",7,81,"week"
"keondae",7,85,"week"
"gurodigital",7,153,"week"
"gooui",7,81,"week"
"kkachisan",7,59,"week"
"nakseongdae",7,178,"week"
"dangsan",7,147,"week"
"daerim",7,159,"week"
"dorimcheon",7,122,"week"
"ttooksum",7,85,"week"
"moonrae",7,162,"week"
"bangbae",7,174,"week"
"bongcheon",7,162,"week"
"samseong",7,89,"week"
"sangwangshipri",7,93,"week"
"seouldaeipgu",7,173,"week"
"seocho",7,166,"week"
"seonreung",7,112,"week"
"seongnae",7,82,"week"
"seongsu",7,71,"week"
"seongsuG",7,10,"week"
"sindap",7,38,"week"
"sindang",7,93,"week"
"sindaebang",7,147,"week"
"sindorim",7,162,"week"
"sindorimG",7,29,"week"
"sinrim",7,162,"week"
"sinjeongnegeori",7,99,"week"
"sincheon",7,99,"week"
"sinchon",7,101,"week"
"ahyeon",7,99,"week"
"yangcheonguchong",7,122,"week"
"yeoksam",7,131,"week"
"yeongdeungpoguchong",7,159,"week"
"wangshipri",7,91,"week"
"yongdap",7,46,"week"
"yongdu",7,37,"week"
"eulji4ga",7,48,"week"
"euljiipgu",7,59,"week"
"ewhadae",7,103,"week"
"jamsil",7,100,"week"
"jonghapwoondongjang",7,96,"week"
"chungjeongro",7,100,"week"
"hanyangdae",7,85,"week"
"hapjeong",7,137,"week"
"hongdae",7,121,"week"
"karaksijang",7,42,"week"
"kyeongbokgoong",7,110,"week"
"keongchalhospital",7,28,"week"
"expressterminal",7,114,"week"
"gupabal",7,69,"week"
"geumho",7,103,"week"
"southterminal",7,107,"week"
"nokbeon",7,103,"week"
"daecheong",7,58,"week"
"daechi",7,63,"week"
"dokok",7,68,"week"
"dokripmoon",7,114,"week"
"dongdaeipgu",7,101,"week"
"maebong",7,74,"week"
"mooakjae",7,120,"week"
"boolkwang",7,97,"week"
"suseo",7,40,"week"
"sinsa",7,90,"week"
"ankook",7,110,"week"
"apgujeong",7,95,"week"
"yaksu",7,107,"week"
"yangjae",7,79,"week"
"yeonsinnae",7,85,"week"
"ogum",7,19,"week"
"oksu",7,106,"week"
"ilwon",7,49,"week"
